sample,label,pred,correct,input_ev,hid_spk,t_ms,L1_ev,L2_ev,L3_ev,L4_ev
133,0,0,1,925,38,3.95,925,38,92,163
134,0,2,0,1065,28,4.77,1065,28,36,69
135,0,0,1,1239,57,4.93,1239,57,80,157
136,0,0,1,1043,42,4.4,1043,42,69,163
137,0,0,1,1237,49,5.14,1237,49,86,174
138,0,0,1,714,33,3.65,714,33,53,115
139,0,6,0,853,46,5.25,853,46,58,126
140,0,0,1,1144,62,5.58,1144,62,80,175
141,0,0,1,994,29,5.32,994,29,37,92
142,0,0,1,1138,58,4.73,1138,58,63,139
143,0,0,1,1226,77,6.63,1226,77,97,173
144,0,0,1,974,47,3.8,974,47,59,136
145,0,0,1,1146,58,4.49,1146,58,84,168
146,0,0,1,1137,60,4.06,1137,60,77,142
147,0,0,1,960,60,4.83,960,60,74,150
148,0,0,1,1092,55,4.35,1092,55,84,161
149,0,0,1,1265,53,4.66,1265,53,94,184
150,0,0,1,947,41,4.95,947,41,65,139
151,0,0,1,1071,44,5.47,1071,44,76,140
152,0,0,1,838,31,3.94,838,31,63,123
153,0,0,1,899,38,7.38,899,38,52,119
154,0,0,1,1044,38,5.94,1044,38,71,141
155,0,0,1,970,56,5.08,970,56,55,113
156,0,0,1,676,49,4.19,676,49,44,103
157,0,0,1,890,57,4.66,890,57,89,174
158,0,0,1,906,34,3.72,906,34,45,99
159,0,0,1,1029,58,4.44,1029,58,77,162
160,0,0,1,1158,57,4.6,1158,57,91,188
161,0,0,1,1106,39,4.45,1106,39,48,108
162,0,0,1,1098,56,4.2,1098,56,85,178
163,0,0,1,1009,47,4.28,1009,47,70,149
164,0,0,1,898,33,3.93,898,33,57,131
165,0,0,1,1310,57,5.79,1310,57,75,156
166,0,0,1,1324,63,5.07,1324,63,81,173
167,0,0,1,983,61,3.65,983,61,70,151
168,0,0,1,886,48,4.35,886,48,69,162
169,0,0,1,946,23,4.76,946,23,48,109
170,0,0,1,1229,49,4.87,1229,49,86,169
171,0,0,1,771,37,3.43,771,37,73,148
172,0,0,1,1248,59,4.36,1248,59,65,137
173,0,0,1,1202,46,5.67,1202,46,78,165
174,0,0,1,1213,77,6.38,1213,77,103,194
175,0,0,1,971,68,4.17,971,68,64,121
176,0,0,1,1052,36,4.13,1052,36,55,124
177,0,0,1,1028,51,3.66,1028,51,72,132
178,0,0,1,1078,37,4.47,1078,37,60,133
179,0,0,1,950,33,3.73,950,33,49,116
180,0,0,1,877,34,3.78,877,34,54,122
181,0,0,1,895,32,3.86,895,32,58,126
182,0,0,1,1159,47,4.7,1159,47,73,141
183,0,0,1,1148,47,4.48,1148,47,85,178
184,0,0,1,1237,41,5.44,1237,41,68,140
185,0,0,1,1200,54,3.97,1200,54,68,156
186,0,0,1,996,51,4.02,996,51,87,163
187,0,0,1,1212,55,4.35,1212,55,92,184
188,0,8,0,521,30,2.88,521,30,26,96
189,0,0,1,1046,32,4.8,1046,32,50,116
190,0,0,1,923,34,4.59,923,34,61,137
191,0,0,1,891,42,3.85,891,42,49,136
192,0,0,1,964,36,4.19,964,36,51,114
193,0,0,1,1208,61,5.02,1208,61,91,168
194,0,0,1,927,48,3.86,927,48,68,133
195,0,0,1,931,54,3.99,931,54,79,163
196,0,0,1,983,61,3.91,983,61,90,171
197,0,0,1,1026,58,4.03,1026,58,84,164
198,0,0,1,1247,60,6.05,1247,60,87,170
199,0,0,1,1022,49,4.91,1022,49,66,146
200,0,0,1,1044,62,3.94,1044,62,57,141
201,0,0,1,1150,58,4.09,1150,58,65,147
202,0,0,1,1130,69,3.99,1130,69,68,120
203,0,0,1,835,34,3.24,835,34,47,89
204,0,0,1,949,55,3.71,949,55,78,152
205,0,0,1,1297,34,4.07,1297,34,56,123
206,0,0,1,1101,46,4.47,1101,46,34,85
207,0,0,1,857,37,3.99,857,37,64,147
208,0,0,1,1242,41,4.76,1242,41,70,146
209,0,0,1,1108,50,4.07,1108,50,84,165
210,0,0,1,914,40,3.63,914,40,51,97
211,0,0,1,1048,34,4.47,1048,34,82,183
212,0,0,1,1135,66,4.34,1135,66,94,203
213,0,0,1,674,34,3.77,674,34,60,150
214,0,0,1,1160,31,4.15,1160,31,39,92
215,0,0,1,877,34,4.75,877,34,61,126
216,0,0,1,747,39,4.3,747,39,54,129
217,0,0,1,1027,66,5.69,1027,66,95,181
218,0,0,1,1292,42,4.39,1292,42,64,132
219,0,0,1,1040,47,6.61,1040,47,97,176
220,0,0,1,947,35,4.65,947,35,57,127
221,0,0,1,1103,71,4.23,1103,71,81,168
222,0,0,1,1297,52,4.28,1297,52,86,164
223,0,0,1,985,36,4.13,985,36,69,135
224,0,0,1,1038,55,4.96,1038,55,76,163
225,0,0,1,599,41,3.48,599,41,59,131
226,0,0,1,1248,50,4.73,1248,50,73,145
227,0,0,1,1161,49,6.0,1161,49,54,112
228,0,0,1,1055,39,5.09,1055,39,70,139
229,0,0,1,1308,64,5.29,1308,64,96,147
230,0,6,0,747,32,4.62,747,32,80,143
231,0,0,1,1238,59,5.0,1238,59,90,193
232,0,0,1,1242,54,5.55,1242,54,72,159
233,0,0,1,1195,37,4.75,1195,37,59,122
234,0,0,1,903,51,3.64,903,51,62,135
235,0,0,1,1046,57,4.11,1046,57,83,175
236,0,0,1,720,47,3.1,720,47,68,151
237,0,0,1,971,53,4.69,971,53,72,145
238,0,0,1,1195,60,4.81,1195,60,88,181
239,0,0,1,1035,54,3.95,1035,54,78,164
240,0,1,0,883,25,4.11,883,25,18,59
241,0,0,1,1212,49,5.31,1212,49,81,160
242,0,0,1,953,57,3.82,953,57,74,150
243,0,0,1,951,37,4.73,951,37,46,99
244,0,0,1,1187,54,4.8,1187,54,89,180
245,0,0,1,647,40,3.34,647,40,59,141
246,0,0,1,973,41,4.19,973,41,78,149
247,0,0,1,879,52,3.94,879,52,85,174
248,0,0,1,930,41,4.19,930,41,66,118
249,0,0,1,1007,45,4.88,1007,45,78,161
250,0,0,1,936,39,3.49,936,39,72,138
251,0,0,1,1208,62,5.5,1208,62,88,177
252,0,0,1,647,29,3.44,647,29,43,94
253,0,0,1,1053,45,5.06,1053,45,66,131
254,0,0,1,1173,39,4.07,1173,39,69,143
255,0,0,1,931,46,4.45,931,46,73,145
256,0,0,1,860,47,4.14,860,47,68,138
257,0,0,1,1274,57,6.1,1274,57,80,169
258,0,0,1,978,45,3.56,978,45,77,157
259,0,0,1,1187,34,4.19,1187,34,57,140
260,0,0,1,988,50,4.52,988,50,78,167
261,0,0,1,1031,58,5.41,1031,58,78,171
262,0,0,1,987,35,3.92,987,35,66,150
263,0,0,1,958,53,4.09,958,53,93,189
264,0,3,0,831,43,3.61,831,43,36,89
265,0,0,1,1068,23,5.25,1068,23,43,102
266,0,0,1,947,40,4.6,947,40,64,126
267,0,0,1,1165,34,4.6,1165,34,68,172
268,0,0,1,832,44,4.76,832,44,51,108
269,0,0,1,1254,67,6.01,1254,67,99,201
270,0,0,1,985,44,4.9,985,44,69,159
271,0,0,1,1268,64,4.57,1268,64,87,172
272,0,0,1,1288,44,4.65,1288,44,84,159
273,0,0,1,887,61,4.61,887,61,82,164
274,0,0,1,1175,48,4.77,1175,48,73,158
275,0,0,1,859,54,4.13,859,54,72,147
276,0,0,1,1079,56,4.43,1079,56,81,168
277,0,0,1,1026,55,3.97,1026,55,81,165
278,0,0,1,733,38,4.6,733,38,48,101
279,0,0,1,983,44,4.29,983,44,77,143
280,0,0,1,954,43,4.11,954,43,79,170
281,0,0,1,1000,29,3.9,1000,29,51,122
282,0,0,1,1163,55,5.51,1163,55,73,143
283,0,0,1,1079,46,4.44,1079,46,76,157
284,0,0,1,1173,61,4.38,1173,61,98,206
285,0,0,1,733,42,4.04,733,42,52,99
286,0,0,1,740,33,3.45,740,33,54,113
287,0,0,1,989,31,3.57,989,31,45,106
288,0,0,1,1060,46,4.34,1060,46,67,138
289,0,6,0,786,36,3.52,786,36,69,119
290,0,0,1,1026,56,4.06,1026,56,94,193
291,0,0,1,1210,56,5.43,1210,56,96,169
292,0,0,1,688,36,3.93,688,36,39,99
293,0,0,1,1116,38,3.65,1116,38,66,132
294,0,0,1,1003,64,5.09,1003,64,83,177
295,0,0,1,941,32,4.72,941,32,46,102
296,0,0,1,1012,57,4.03,1012,57,85,176
297,0,0,1,1010,55,4.4,1010,55,97,184
298,0,0,1,587,35,3.61,587,35,43,113
299,0,0,1,1048,46,5.4,1048,46,80,153
300,0,0,1,899,45,5.53,899,45,77,152
301,0,0,1,1101,62,5.53,1101,62,76,158
302,0,0,1,826,34,3.49,826,34,50,124
303,0,0,1,879,44,3.56,879,44,69,158
304,0,0,1,1088,56,4.87,1088,56,83,162
305,0,0,1,1109,55,4.31,1109,55,77,153
306,0,0,1,1095,57,4.54,1095,57,80,152
307,0,5,0,1038,27,4.55,1038,27,31,79
308,0,0,1,1083,49,5.73,1083,49,80,163
309,0,0,1,945,37,3.91,945,37,60,133
310,0,0,1,1014,50,4.63,1014,50,85,168
311,0,0,1,996,60,4.54,996,60,83,161
312,0,0,1,933,57,5.28,933,57,65,105
313,0,0,1,960,41,10.91,960,41,64,111
314,0,0,1,873,48,4.75,873,48,79,163
315,0,0,1,971,40,3.77,971,40,78,144
316,0,0,1,1143,63,4.16,1143,63,83,170
317,0,0,1,804,56,3.46,804,56,71,143
318,0,8,0,1023,15,4.19,1023,15,20,70
319,0,0,1,1030,51,5.15,1030,51,78,162
320,0,0,1,1090,75,4.5,1090,75,80,165
321,0,0,1,997,41,4.31,997,41,69,129
322,0,0,1,729,34,3.96,729,34,57,114
323,0,0,1,972,44,4.62,972,44,63,127
324,0,0,1,1110,41,4.22,1110,41,67,135
325,0,0,1,1243,40,4.17,1243,40,68,134
326,0,7,0,688,39,5.01,688,39,61,122
327,0,0,1,1036,41,4.25,1036,41,64,135
328,0,0,1,1297,69,5.51,1297,69,89,187
329,0,0,1,1298,66,4.76,1298,66,90,184
330,0,0,1,909,54,4.31,909,54,66,131
331,0,0,1,1392,48,4.59,1392,48,68,133
332,0,0,1,955,26,3.92,955,26,45,87
333,0,0,1,612,45,3.91,612,45,47,92
334,0,0,1,774,38,3.15,774,38,55,104
335,0,0,1,1094,43,4.31,1094,43,74,144
336,0,0,1,1228,52,8.31,1228,52,94,190
337,0,0,1,1071,53,4.25,1071,53,63,127
338,0,0,1,1289,68,4.53,1289,68,89,164
339,0,0,1,1343,33,4.39,1343,33,61,140
340,0,0,1,745,31,4.2,745,31,72,145
341,0,0,1,1179,34,4.16,1179,34,65,133
342,0,0,1,787,39,4.41,787,39,78,151
343,0,0,1,1132,40,4.01,1132,40,63,127
344,0,0,1,1215,53,4.47,1215,53,78,160
345,0,0,1,1233,63,4.81,1233,63,107,201
346,0,0,1,827,45,4.29,827,45,42,91
347,0,0,1,1292,40,5.3,1292,40,69,156
348,0,0,1,1051,49,4.11,1051,49,72,155
349,0,0,1,1101,53,5.75,1101,53,84,163
350,0,0,1,1186,54,4.45,1186,54,76,148
351,0,0,1,920,35,4.7,920,35,70,150
352,0,0,1,938,42,4.4,938,42,72,151
353,0,6,0,954,56,3.78,954,56,56,89
354,0,0,1,1089,50,8.55,1089,50,77,171
355,0,0,1,1042,47,5.02,1042,47,89,185
356,0,0,1,1181,56,4.06,1181,56,99,192
357,0,0,1,1010,44,4.73,1010,44,64,126
358,0,0,1,1208,57,4.77,1208,57,81,157
359,0,0,1,1191,50,5.01,1191,50,85,168
360,0,0,1,1330,61,4.84,1330,61,103,186
361,0,0,1,847,40,3.75,847,40,67,152
362,0,0,1,1080,57,5.76,1080,57,69,148
363,0,0,1,1197,41,4.97,1197,41,64,143
364,0,0,1,1188,46,4.91,1188,46,77,164
365,0,0,1,852,51,3.94,852,51,72,137
366,0,0,1,1034,48,5.2,1034,48,72,148
367,0,0,1,1395,63,4.49,1395,63,103,205
368,0,0,1,1207,57,4.46,1207,57,95,197
369,0,0,1,893,27,3.94,893,27,54,131
370,0,0,1,1263,62,4.72,1263,62,105,196
371,0,0,1,1284,68,4.99,1284,68,96,184
372,0,0,1,1397,67,4.94,1397,67,70,133
373,0,0,1,1235,57,4.67,1235,57,102,198
374,0,0,1,963,50,3.63,963,50,80,153
375,0,0,1,911,45,3.97,911,45,77,158
376,0,4,0,883,29,3.94,883,29,44,104
377,0,0,1,1235,61,5.25,1235,61,97,188
378,0,0,1,1042,48,4.03,1042,48,81,188
379,0,0,1,832,42,3.97,832,42,54,123
380,0,0,1,1168,42,3.99,1168,42,75,155
381,0,0,1,841,61,5.75,841,61,83,145
382,0,0,1,1191,61,5.2,1191,61,94,197
383,0,0,1,709,27,3.87,709,27,29,65
384,0,0,1,1337,67,5.41,1337,67,105,204
385,0,0,1,1267,70,4.5,1267,70,87,182
386,0,0,1,1213,34,4.33,1213,34,57,120
387,0,0,1,870,40,5.07,870,40,51,137
388,0,0,1,1006,42,4.1,1006,42,69,132
389,0,0,1,1414,54,4.67,1414,54,96,173
390,0,0,1,1033,51,4.3,1033,51,85,165
391,0,0,1,863,45,4.79,863,45,65,129
392,0,0,1,1042,59,4.56,1042,59,89,184
393,0,0,1,1169,74,4.83,1169,74,91,190
394,0,0,1,926,31,4.59,926,31,49,115
395,0,0,1,1316,54,6.14,1316,54,69,128
396,0,0,1,1083,58,4.27,1083,58,95,181
397,0,0,1,1378,47,4.92,1378,47,76,152
398,0,0,1,1154,71,5.85,1154,71,76,158
399,0,0,1,969,54,4.76,969,54,83,170
400,0,0,1,1189,50,4.69,1189,50,59,142
401,0,0,1,1398,56,4.81,1398,56,69,151
402,0,0,1,1163,63,4.57,1163,63,80,179
403,0,0,1,836,39,4.56,836,39,65,142
404,0,0,1,809,37,3.75,809,37,60,131
405,0,0,1,986,47,5.04,986,47,71,149
406,0,0,1,733,32,4.37,733,32,59,124
407,0,0,1,1354,67,4.53,1354,67,97,192
408,0,0,1,1126,43,5.13,1126,43,68,156
409,0,0,1,968,51,4.37,968,51,72,158
410,0,0,1,801,45,4.58,801,45,68,150
411,0,0,1,965,38,3.64,965,38,69,140
412,0,0,1,1177,58,6.03,1177,58,91,169
413,0,0,1,1068,45,5.4,1068,45,75,145
414,0,0,1,1174,60,5.06,1174,60,85,175
415,0,0,1,1071,41,3.78,1071,41,60,129
416,0,0,1,798,38,3.25,798,38,64,130
417,0,6,0,663,23,3.78,663,23,42,111
418,0,0,1,1138,41,4.81,1138,41,66,140
419,0,0,1,1037,28,3.97,1037,28,58,125
420,0,0,1,998,47,4.07,998,47,82,166
421,0,0,1,760,43,3.14,760,43,40,80
422,0,0,1,1170,58,6.0,1170,58,99,202
423,0,0,1,1216,71,4.62,1216,71,91,171
424,0,0,1,1197,39,4.48,1197,39,67,147
425,0,0,1,1247,68,4.78,1247,68,98,182
426,0,0,1,1251,38,3.98,1251,38,73,149
427,0,0,1,1122,47,4.12,1122,47,65,129
428,0,0,1,1139,56,3.87,1139,56,82,166
429,0,0,1,1150,55,4.11,1150,55,93,191
430,0,0,1,978,53,5.65,978,53,78,175
431,0,0,1,720,54,3.69,720,54,62,139
432,0,0,1,1120,57,4.04,1120,57,86,169
433,0,0,1,1015,36,3.82,1015,36,60,124
434,0,0,1,892,52,3.74,892,52,62,128
435,0,0,1,1190,57,4.14,1190,57,87,179
436,0,0,1,925,45,3.59,925,45,58,119
437,0,0,1,1158,34,3.86,1158,34,47,108
438,0,0,1,1009,58,4.25,1009,58,80,163
439,0,0,1,1180,53,4.02,1180,53,85,167
440,0,0,1,1177,37,4.12,1177,37,77,159
441,0,0,1,808,52,4.54,808,52,67,111
442,0,0,1,806,34,4.49,806,34,51,107
443,0,0,1,1265,43,4.38,1265,43,62,139
444,0,0,1,996,32,3.86,996,32,52,103
445,0,0,1,892,29,3.51,892,29,51,138
446,0,0,1,1146,42,3.83,1146,42,49,115
447,0,0,1,748,35,3.57,748,35,28,77
448,0,0,1,1186,58,4.19,1186,58,107,173
449,0,5,0,1059,35,4.53,1059,35,35,77
450,0,0,1,915,40,3.91,915,40,55,119
451,0,0,1,1065,52,4.26,1065,52,84,177
452,0,0,1,1184,45,4.94,1184,45,61,140
453,0,0,1,1026,46,4.02,1026,46,66,134
454,0,0,1,1209,66,4.43,1209,66,96,191
455,0,0,1,1147,59,4.33,1147,59,97,179
456,0,0,1,1211,50,4.19,1211,50,81,160
457,0,0,1,841,36,3.43,841,36,49,123
458,0,0,1,1242,60,4.61,1242,60,96,195
459,0,0,1,1358,63,5.51,1358,63,91,160
460,0,0,1,1230,45,4.58,1230,45,62,127
461,0,0,1,1280,26,4.63,1280,26,49,100
462,0,0,1,1350,44,5.39,1350,44,65,142
463,0,0,1,1314,43,11.61,1314,43,66,142
464,0,0,1,1195,45,4.46,1195,45,71,139
465,0,0,1,1299,55,4.94,1299,55,67,135
466,0,0,1,1275,48,4.39,1275,48,72,110
467,0,0,1,1378,53,4.51,1378,53,86,165
468,0,0,1,1340,50,5.32,1340,50,64,129
469,0,0,1,1414,53,4.16,1414,53,73,134
470,0,0,1,1333,51,5.0,1333,51,83,151
471,0,0,1,1340,47,5.51,1340,47,82,170
472,0,0,1,1389,46,6.04,1389,46,72,143
473,0,0,1,1365,48,4.77,1365,48,71,140
474,0,0,1,1300,42,6.15,1300,42,68,143
475,0,0,1,1390,41,4.29,1390,41,64,142
476,0,0,1,1279,61,4.91,1279,61,73,137
477,0,0,1,1212,33,5.06,1212,33,56,110
478,0,0,1,1123,32,4.05,1123,32,72,165
479,0,0,1,1163,59,4.32,1163,59,94,184
480,0,0,1,1065,38,6.29,1065,38,60,114
481,0,0,1,1050,44,4.38,1050,44,48,110
482,0,0,1,1195,43,5.31,1195,43,62,133
483,0,0,1,1023,51,4.5,1023,51,54,115
484,0,0,1,1155,36,4.72,1155,36,68,158
485,0,0,1,1144,41,5.04,1144,41,72,130
486,0,0,1,1088,38,5.72,1088,38,62,124
487,0,0,1,1253,51,4.68,1253,51,69,138
488,0,0,1,1131,40,4.17,1131,40,45,97
489,0,0,1,1099,49,4.45,1099,49,71,142
490,0,0,1,1258,51,5.34,1258,51,90,180
491,0,0,1,947,42,4.88,947,42,59,131
492,0,0,1,1214,63,5.4,1214,63,76,163
493,0,0,1,1011,49,5.51,1011,49,66,143
494,0,0,1,1166,46,4.33,1166,46,57,129
495,0,0,1,1019,58,4.68,1019,58,66,130
496,0,0,1,1116,48,5.29,1116,48,80,168
497,0,0,1,1132,50,4.22,1132,50,78,154
498,0,0,1,1152,49,5.26,1152,49,73,139
499,0,0,1,1108,59,5.79,1108,59,66,134
500,0,0,1,1162,66,5.23,1162,66,91,199
501,0,0,1,1008,40,4.65,1008,40,61,139
502,0,0,1,1350,51,4.35,1350,51,71,142
503,0,0,1,1247,61,4.04,1247,61,84,166
504,0,0,1,1353,64,4.4,1353,64,75,156
505,0,0,1,1322,57,6.15,1322,57,83,178
506,0,0,1,979,41,3.92,979,41,73,144
507,0,0,1,1270,60,4.96,1270,60,92,183
508,0,0,1,1242,54,4.99,1242,54,54,123
509,0,0,1,1339,63,5.76,1339,63,97,192
510,0,0,1,1357,47,4.3,1357,47,80,165
511,0,0,1,1286,59,4.37,1286,59,65,132
512,0,0,1,1322,46,4.48,1322,46,97,178
513,0,0,1,1133,39,3.88,1133,39,61,120
514,0,0,1,959,39,4.34,959,39,53,115
515,0,0,1,1062,51,4.12,1062,51,80,166
516,0,0,1,922,38,4.67,922,38,58,111
517,0,0,1,958,46,3.5,958,46,64,131
518,0,0,1,970,52,4.04,970,52,58,132
519,0,0,1,1192,53,4.44,1192,53,85,169
520,0,0,1,1041,45,3.85,1041,45,68,145
521,0,0,1,858,37,3.36,858,37,68,138
522,0,0,1,1207,57,5.85,1207,57,72,151
523,0,0,1,1019,51,3.54,1019,51,76,151
524,0,0,1,1276,51,4.55,1276,51,76,167
525,0,0,1,1127,52,3.72,1127,52,93,186
526,0,0,1,1160,45,4.67,1160,45,82,166
527,0,0,1,1116,48,4.87,1116,48,68,147
528,0,0,1,1099,32,5.22,1099,32,46,77
529,0,0,1,1156,55,5.38,1156,55,80,167
530,0,0,1,1295,58,4.64,1295,58,83,180
531,0,0,1,1470,58,5.2,1470,58,96,195
532,0,0,1,1175,59,5.13,1175,59,91,187
533,0,0,1,1180,63,4.19,1180,63,80,171
534,0,0,1,1199,55,5.58,1199,55,90,168
535,0,0,1,1363,56,4.91,1363,56,83,178
536,0,0,1,1276,49,4.63,1276,49,41,102
537,0,0,1,1035,47,4.82,1035,47,71,146
538,0,0,1,1021,41,4.46,1021,41,63,128
539,0,0,1,1255,51,4.71,1255,51,76,168
540,0,0,1,1458,44,5.55,1458,44,80,168
541,0,0,1,1198,47,4.49,1198,47,83,161
542,0,0,1,1005,47,4.96,1005,47,68,119
543,0,0,1,1343,56,5.5,1343,56,90,162
544,0,0,1,1281,52,4.79,1281,52,76,153
545,0,0,1,1105,44,4.11,1105,44,50,110
546,0,0,1,1068,43,3.81,1068,43,56,118
547,0,0,1,985,35,4.23,985,35,62,110
548,0,0,1,1113,52,5.09,1113,52,71,168
